[3/30/22 07:10PM] Avalon used command ::find skip scroll | Player rights = PLAYER
[3/30/22 11:33PM] Avalon used command ::TELE 2570 2522 | Player rights = DEVELOPER
[3/30/22 11:35PM] Avalon used command ::TELE 2570 2524 | Player rights = DEVELOPER
[3/30/22 11:35PM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/30/22 11:36PM] Avalon used command ::tele 2570 2526 | Player rights = DEVELOPER
[3/30/22 11:38PM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[3/30/22 11:39PM] Avalon used command ::tele 2570 2522 | Player rights = DEVELOPER
[3/30/22 11:43PM] Avalon used command ::TELE 2570 2520 | Player rights = DEVELOPER
[3/30/22 11:44PM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/30/22 11:45PM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/31/22 06:17AM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/31/22 06:17AM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/31/22 06:20AM] Avalon used command ::TELE 2579 2525 | Player rights = DEVELOPER
[3/31/22 06:37AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 06:41AM] Avalon used command ::tele 2596 2523 | Player rights = DEVELOPER
[3/31/22 06:41AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 06:44AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 06:50AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 06:51AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:00AM] Avalon used command ::newhome | Player rights = DEVELOPER
[3/31/22 07:01AM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[3/31/22 07:01AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 07:01AM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 07:02AM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[3/31/22 07:03AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 07:03AM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 07:04AM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[3/31/22 07:04AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 07:05AM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 07:06AM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[3/31/22 07:06AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 07:08AM] Avalon used command ::MYPOS | Player rights = DEVELOPER
[3/31/22 07:08AM] Avalon used command ::shops | Player rights = DEVELOPER
[3/31/22 07:13AM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[3/31/22 07:25AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 07:25AM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 07:26AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:26AM] Avalon used command ::tele 2591 2510 | Player rights = DEVELOPER
[3/31/22 07:27AM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 07:27AM] Avalon used command ::tele 2591 2510 | Player rights = DEVELOPER
[3/31/22 07:28AM] Avalon used command ::object 52650 | Player rights = DEVELOPER
[3/31/22 07:28AM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 07:29AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:29AM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 07:29AM] Avalon used command ::tele 2570 2522 | Player rights = DEVELOPER
[3/31/22 07:30AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 07:33AM] Avalon used command ::REPACKINDEX4 | Player rights = DEVELOPER
[3/31/22 07:33AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:35AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 07:36AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:38AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:50AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 07:50AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:50AM] Avalon used command ::master | Player rights = DEVELOPER
[3/31/22 07:50AM] Avalon used command ::god | Player rights = DEVELOPER
[3/31/22 08:28AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 11:18AM] Avalon used command ::tele 2944 2770 | Player rights = DEVELOPER
[3/31/22 11:18AM] Avalon used command ::noclip | Player rights = DEVELOPER
[3/31/22 11:19AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 11:23AM] Avalon used command ::2980, 2772 | Player rights = DEVELOPER
[3/31/22 11:23AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 11:24AM] Avalon used command ::tele 2570 2522 | Player rights = DEVELOPER
[3/31/22 11:24AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 11:25AM] Avalon used command ::tle 2570 2522 | Player rights = DEVELOPER
[3/31/22 11:25AM] Avalon used command ::tele 2570 2522 | Player rights = DEVELOPER
[3/31/22 11:25AM] Avalon used command ::tele 2590 2522 | Player rights = DEVELOPER
[3/31/22 11:25AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 11:26AM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 11:51AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 11:54AM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[3/31/22 12:32PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 12:50PM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 12:57PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 12:58PM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[3/31/22 01:08PM] Avalon used command ::ind dark sangu | Player rights = DEVELOPER
[3/31/22 01:08PM] Avalon used command ::item 22114 | Player rights = DEVELOPER
[3/31/22 01:08PM] Avalon used command ::ite 22118 | Player rights = DEVELOPER
[3/31/22 01:08PM] Avalon used command ::god | Player rights = DEVELOPER
[3/31/22 01:08PM] Avalon used command ::find aoe | Player rights = DEVELOPER
[3/31/22 01:09PM] Avalon used command ::item 8410 | Player rights = DEVELOPER
[3/31/22 02:04PM] Avalon used command ::events | Player rights = DEVELOPER
[3/31/22 02:04PM] Avalon used command ::event | Player rights = DEVELOPER
[3/31/22 02:04PM] Avalon used command ::global | Player rights = DEVELOPER
[3/31/22 02:33PM] Avalon used command ::global | Player rights = DEVELOPER
[3/31/22 02:33PM] Avalon used command ::god | Player rights = DEVELOPER
[3/31/22 02:37PM] Avalon used command ::npc 3310 | Player rights = DEVELOPER
[3/31/22 02:37PM] Avalon used command ::npc 3311 | Player rights = DEVELOPER
[3/31/22 03:44PM] Avalon used command ::tele 2964 2770 | Player rights = DEVELOPER
[3/31/22 03:44PM] Avalon used command ::noclip | Player rights = DEVELOPER
[3/31/22 03:45PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 03:49PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 04:10PM] Avalon used command ::item 172 | Player rights = DEVELOPER
[3/31/22 04:10PM] Avalon used command ::item 989 | Player rights = DEVELOPER
[3/31/22 04:11PM] Avalon used command ::tele 2570 2522 | Player rights = DEVELOPER
[3/31/22 04:11PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 05:00PM] Avalon used command ::spawnafk | Player rights = DEVELOPER
[3/31/22 05:00PM] Avalon used command ::npc 3779 | Player rights = DEVELOPER
[3/31/22 05:01PM] Avalon used command ::afkboss | Player rights = DEVELOPER
[3/31/22 05:01PM] Avalon used command ::earthquake | Player rights = DEVELOPER
[3/31/22 05:52PM] Avalon used command ::npc 9 | Player rights = DEVELOPER
[3/31/22 06:31PM] Avalon used command ::npc 398 | Player rights = DEVELOPER
[3/31/22 06:31PM] Avalon used command ::npc 481 | Player rights = DEVELOPER
[3/31/22 06:32PM] Avalon used command ::npc 481 | Player rights = DEVELOPER
[3/31/22 06:32PM] Avalon used command ::npc 482 | Player rights = DEVELOPER
[3/31/22 06:32PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 06:33PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 06:42PM] Avalon used command ::afk | Player rights = DEVELOPER
[3/31/22 06:42PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 06:43PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 06:46PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 06:46PM] Avalon used command ::tele 2655 3959 | Player rights = DEVELOPER
[3/31/22 06:46PM] Avalon used command ::tele 2655 3979 | Player rights = DEVELOPER
[3/31/22 06:46PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 06:47PM] Avalon used command ::tele 2655 3959 | Player rights = DEVELOPER
[3/31/22 06:47PM] Avalon used command ::tele 2655 4019 | Player rights = DEVELOPER
[3/31/22 06:47PM] Avalon used command ::afk | Player rights = DEVELOPER
[3/31/22 06:51PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 06:59PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:03PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 07:11PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[3/31/22 10:48PM] Avalon used command ::item 12855 | Player rights = DEVELOPER
[3/31/22 11:03PM] Avalon used command ::npc 3814 | Player rights = DEVELOPER
[3/31/22 11:03PM] Avalon used command ::npc 8005 | Player rights = DEVELOPER
[3/31/22 11:04PM] Avalon used command ::npc 8002 | Player rights = DEVELOPER
[3/31/22 11:04PM] Avalon used command ::npc 810 | Player rights = DEVELOPER
[3/31/22 11:05PM] Avalon used command ::npc 9839 | Player rights = DEVELOPER
[3/31/22 11:06PM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 11:06PM] Avalon used command ::npc 9838 | Player rights = DEVELOPER
[3/31/22 11:06PM] Avalon used command ::tele 2359 3893 | Player rights = DEVELOPER
[3/31/22 11:08PM] Avalon used command ::mypos | Player rights = DEVELOPER
[3/31/22 11:10PM] Avalon used command ::npc 9837 | Player rights = DEVELOPER
[3/31/22 11:11PM] Avalon used command ::npc 9802 | Player rights = DEVELOPER
[3/31/22 11:11PM] Avalon used command ::npc 9029 | Player rights = DEVELOPER
[3/31/22 11:12PM] Avalon used command ::npc 9028 | Player rights = DEVELOPER
[3/31/22 11:12PM] Avalon used command ::npc 9024 | Player rights = DEVELOPER
[3/31/22 11:12PM] Avalon used command ::npc 9025 | Player rights = DEVELOPER
[3/31/22 11:12PM] Avalon used command ::npc 9026 | Player rights = DEVELOPER
[3/31/22 11:12PM] Avalon used command ::npc 9027 | Player rights = DEVELOPER
[3/31/22 11:12PM] Avalon used command ::npc 9028 | Player rights = DEVELOPER
[3/31/22 11:12PM] Avalon used command ::npc npc 3 | Player rights = DEVELOPER
[3/31/22 11:12PM] Avalon used command ::npc 3 | Player rights = DEVELOPER
[3/31/22 11:13PM] Avalon used command ::npc 1121 | Player rights = DEVELOPER
[3/31/22 11:13PM] Avalon used command ::npc 586 | Player rights = DEVELOPER
[3/31/22 11:15PM] Avalon used command ::npc 3712 | Player rights = DEVELOPER
[3/31/22 11:20PM] Avalon used command ::find judicator | Player rights = DEVELOPER
[3/31/22 11:23PM] Avalon used command ::find npc 1587 | Player rights = DEVELOPER
[3/31/22 11:23PM] Avalon used command ::npc 1587 | Player rights = DEVELOPER
[3/31/22 11:30PM] Avalon used command ::npc 1598 | Player rights = DEVELOPER
[3/31/22 11:30PM] Avalon used command ::npc 1587 | Player rights = DEVELOPER
[3/31/22 11:36PM] Avalon used command ::tele 3232 9856 | Player rights = DEVELOPER
[3/31/22 11:36PM] Avalon used command ::noclip | Player rights = DEVELOPER
[3/31/22 11:37PM] Avalon used command ::noclip | Player rights = DEVELOPER
[3/31/22 11:37PM] Avalon used command ::noclip | Player rights = DEVELOPER
[3/31/22 11:37PM] Avalon used command ::noclip | Player rights = DEVELOPER
[3/31/22 11:37PM] Avalon used command ::noclip | Player rights = DEVELOPER
[3/31/22 11:38PM] Avalon used command ::tele 3096 9880 | Player rights = DEVELOPER
[3/31/22 11:39PM] Avalon used command ::npc 1587 | Player rights = DEVELOPER
[3/31/22 11:43PM] Avalon used command ::npc 3113 | Player rights = DEVELOPER
[3/31/22 11:44PM] Avalon used command ::npc 8012 | Player rights = DEVELOPER
[3/31/22 11:44PM] Avalon used command ::npc 8011 | Player rights = DEVELOPER
[3/31/22 11:44PM] Avalon used command ::home | Player rights = DEVELOPER
[3/31/22 11:45PM] Avalon used command ::npc 189 | Player rights = DEVELOPER
[3/31/22 11:46PM] Avalon used command ::npc 438 | Player rights = DEVELOPER
[3/31/22 11:47PM] Avalon used command ::npc 6234 | Player rights = DEVELOPER
[3/31/22 11:48PM] Avalon used command ::npc 6324 | Player rights = DEVELOPER
[3/31/22 11:48PM] Avalon used command ::npc 6325 | Player rights = DEVELOPER
[3/31/22 11:48PM] Avalon used command ::npc 6325 | Player rights = DEVELOPER
[4/1/22 12:27PM] Avalon used command ::tele 2570 2545 | Player rights = DEVELOPER
[4/1/22 12:27PM] Avalon used command ::tele 2590 2545 | Player rights = DEVELOPER
[4/1/22 12:27PM] Avalon used command ::tele 2595 2545 | Player rights = DEVELOPER
[4/1/22 12:28PM] Avalon used command ::tee 2570 2525 | Player rights = DEVELOPER
[4/1/22 12:28PM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[4/1/22 04:39PM] Avalon used command ::npc 9027 | Player rights = DEVELOPER
[4/1/22 04:40PM] Avalon used command ::home | Player rights = DEVELOPER
[4/1/22 04:41PM] Avalon used command ::tele 2570 2525 | Player rights = DEVELOPER
[4/1/22 07:27PM] Avalon used command ::npc 187 | Player rights = DEVELOPER
[4/1/22 07:28PM] Avalon used command ::vboss | Player rights = DEVELOPER
[4/1/22 07:45PM] Avalon used command ::item 9251 | Player rights = DEVELOPER
[4/1/22 07:52PM] Avalon used command ::item 1153 | Player rights = DEVELOPER
[4/1/22 07:52PM] Avalon used command ::item 1154 | Player rights = DEVELOPER
[4/1/22 07:52PM] Avalon used command ::iitem 1155 | Player rights = DEVELOPER
[4/1/22 07:53PM] Avalon used command ::item 1155 | Player rights = DEVELOPER
[4/1/22 11:41PM] Avalon used command ::goku | Player rights = DEVELOPER
[4/1/22 11:41PM] Avalon used command ::find t4 | Player rights = DEVELOPER
[4/1/22 11:41PM] Avalon used command ::item 8323 | Player rights = DEVELOPER
[4/1/22 11:41PM] Avalon used command ::item 8324 | Player rights = DEVELOPER
[4/1/22 11:41PM] Avalon used command ::item 8325 | Player rights = DEVELOPER
[4/1/22 11:44PM] Avalon used command ::item 8330 | Player rights = DEVELOPER
[4/1/22 11:44PM] Avalon used command ::item 8331 | Player rights = DEVELOPER
[4/1/22 11:44PM] Avalon used command ::item 8332 | Player rights = DEVELOPER
[4/1/22 11:47PM] Avalon used command ::find cape | Player rights = DEVELOPER
[4/1/22 11:47PM] Avalon used command ::Find cape | Player rights = DEVELOPER
[4/1/22 11:48PM] Avalon used command ::find green cape | Player rights = DEVELOPER
[4/1/22 11:48PM] Avalon used command ::item 6570 | Player rights = DEVELOPER
[4/1/22 11:48PM] Avalon used command ::item 6959 | Player rights = DEVELOPER
[4/1/22 11:48PM] Avalon used command ::item 6960 | Player rights = DEVELOPER
[4/1/22 11:48PM] Avalon used command ::item 4516 | Player rights = DEVELOPER
[4/1/22 11:48PM] Avalon used command ::item 4398 | Player rights = DEVELOPER
[4/1/22 11:49PM] Avalon used command ::item 4397 | Player rights = DEVELOPER
[4/1/22 11:49PM] Avalon used command ::item 4377 | Player rights = DEVELOPER
[4/1/22 11:51PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/1/22 11:52PM] Avalon used command ::Find cape | Player rights = DEVELOPER
[4/1/22 11:58PM] Avalon used command ::item 6579 | Player rights = DEVELOPER
[4/1/22 11:58PM] Avalon used command ::find fire cape | Player rights = DEVELOPER
[4/1/22 11:58PM] Avalon used command ::item 6570 | Player rights = DEVELOPER
[4/2/22 12:21AM] Avalon used command ::NPC 1006 | Player rights = DEVELOPER
[4/2/22 12:21AM] Avalon used command ::npc 1006 | Player rights = DEVELOPER
[4/2/22 12:21AM] Avalon used command ::npc 1006 | Player rights = DEVELOPER
[4/2/22 12:21AM] Avalon used command ::npc 2 | Player rights = DEVELOPER
[4/2/22 12:21AM] Avalon used command ::staffzone | Player rights = DEVELOPER
[4/2/22 12:22AM] Avalon used command ::npc 1006 | Player rights = DEVELOPER
[4/2/22 12:22AM] Avalon used command ::npc 1006 | Player rights = DEVELOPER
[4/2/22 12:22AM] Avalon used command ::npc 187 | Player rights = DEVELOPER
[4/2/22 12:23AM] Avalon used command ::npc 500 | Player rights = DEVELOPER
[4/2/22 12:25AM] Avalon used command ::npc 500 | Player rights = DEVELOPER
[4/2/22 12:29AM] Avalon used command ::npc 500 | Player rights = DEVELOPER
[4/2/22 12:37AM] Avalon used command ::npc 501 | Player rights = DEVELOPER
[4/2/22 12:37AM] Avalon used command ::npc 502 | Player rights = DEVELOPER
[4/2/22 12:37AM] Avalon used command ::npc 503 | Player rights = DEVELOPER
[4/2/22 12:38AM] Avalon used command ::npc 504 | Player rights = DEVELOPER
[4/2/22 12:38AM] Avalon used command ::npc 505 | Player rights = DEVELOPER
[4/2/22 12:42AM] Avalon used command ::npc 501 | Player rights = DEVELOPER
[4/2/22 12:00PM] Avalon used command ::npc 503 | Player rights = DEVELOPER
[4/2/22 12:09PM] Avalon used command ::find assassin | Player rights = DEVELOPER
[4/2/22 12:13PM] Avalon used command ::find vault token | Player rights = DEVELOPER
[4/2/22 12:13PM] Avalon used command ::item 12852 500m | Player rights = DEVELOPER
[4/2/22 01:23PM] Avalon used command ::item 15167 | Player rights = DEVELOPER
[4/2/22 01:23PM] Avalon used command ::item 11764 | Player rights = DEVELOPER
[4/2/22 01:23PM] Avalon used command ::item 11765 | Player rights = DEVELOPER
[4/2/22 01:23PM] Avalon used command ::item 11763 | Player rights = DEVELOPER
[4/2/22 01:26PM] Avalon used command ::find trump | Player rights = DEVELOPER
[4/2/22 01:27PM] Avalon used command ::item 11766 | Player rights = DEVELOPER
[4/2/22 01:27PM] Avalon used command ::item 11767 | Player rights = DEVELOPER
[4/2/22 01:27PM] Avalon used command ::item 17702 | Player rights = DEVELOPER
[4/2/22 01:28PM] Avalon used command ::npc 250 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::find Goku | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::itm 9478 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::item 9480 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::item 9478 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::item 16265 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::item 9480 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::itm 9479 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::item 9479 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::item 16265 | Player rights = DEVELOPER
[4/2/22 02:24PM] Avalon used command ::item 16249 | Player rights = DEVELOPER
[4/2/22 02:30PM] Avalon used command ::npc 4001 | Player rights = DEVELOPER
[4/2/22 04:01PM] Avalon used command ::npc 505 | Player rights = DEVELOPER
[4/2/22 04:10PM] Avalon used command ::NPC 2949 | Player rights = DEVELOPER
[4/2/22 06:38PM] Avalon used command ::NPC 2342 | Player rights = DEVELOPER
[4/2/22 06:39PM] Avalon used command ::NPC 2342 | Player rights = DEVELOPER
[4/2/22 06:54PM] Avalon used command ::npc 505 | Player rights = DEVELOPER
[4/2/22 06:54PM] Avalon used command ::npc 2342 | Player rights = DEVELOPER
[4/2/22 11:06PM] Avalon used command ::npc 2342 | Player rights = DEVELOPER
[4/2/22 11:15PM] Avalon used command ::npc 6430 | Player rights = DEVELOPER
[4/2/22 11:27PM] Avalon used command ::NPC 6430 | Player rights = DEVELOPER
[4/3/22 10:55AM] Avalon used command ::npc 440 | Player rights = DEVELOPER
[4/3/22 12:52PM] Avalon used command ::find ebony | Player rights = DEVELOPER
[4/3/22 12:52PM] Avalon used command ::item 23050 | Player rights = DEVELOPER
[4/3/22 12:52PM] Avalon used command ::item 23051 | Player rights = DEVELOPER
[4/3/22 12:52PM] Avalon used command ::item 23052 | Player rights = DEVELOPER
[4/3/22 12:53PM] Avalon used command ::item 23053 | Player rights = DEVELOPER
[4/3/22 01:09PM] Avalon used command ::item 23055 | Player rights = DEVELOPER
[4/3/22 02:08PM] Avalon used command ::tele 2688 9088 | Player rights = DEVELOPER
[4/3/22 02:08PM] Avalon used command ::noclip | Player rights = DEVELOPER
[4/3/22 02:16PM] Avalon used command ::tele 2527 4547 | Player rights = DEVELOPER
[4/3/22 02:16PM] Avalon used command ::tele 3094 3107 | Player rights = DEVELOPER
[4/3/22 02:17PM] Avalon used command ::home | Player rights = DEVELOPER
[4/3/22 02:17PM] Avalon used command ::tele 3094 3107 | Player rights = DEVELOPER
[4/3/22 02:17PM] Avalon used command ::Home | Player rights = DEVELOPER
[4/3/22 02:17PM] Avalon used command ::tele 3504 3575 | Player rights = DEVELOPER
[4/3/22 02:17PM] Avalon used command ::::Home | Player rights = DEVELOPER
[4/3/22 02:21PM] Avalon used command ::::TELE 2849 4572 | Player rights = DEVELOPER
[4/3/22 02:21PM] Avalon used command ::tele 2849 4572 | Player rights = DEVELOPER
[4/3/22 02:22PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER
[4/3/22 02:23PM] Avalon used command ::train | Player rights = DEVELOPER
[4/3/22 02:23PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/3/22 02:24PM] Avalon used command ::tele 2849 4569 | Player rights = DEVELOPER
[4/3/22 02:24PM] Avalon used command ::tele 3037 10288 | Player rights = DEVELOPER
[4/3/22 02:26PM] Avalon used command ::tele 2849 4569 | Player rights = DEVELOPER
[4/3/22 02:26PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/3/22 02:26PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/3/22 02:27PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/3/22 02:27PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/3/22 02:27PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/3/22 02:28PM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::bank | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::find void knight | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::item 19785 | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::item 19786 | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::item 19787 | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::mte 10611 | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::item 19804 | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::item 1903 | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::item 19803 | Player rights = DEVELOPER
[4/3/22 11:41PM] Avalon used command ::empty | Player rights = DEVELOPER
[4/4/22 08:58AM] Avalon used command ::item 8411 | Player rights = DEVELOPER
[4/4/22 09:06AM] Avalon used command ::item 19114 | Player rights = DEVELOPER
[4/4/22 09:12AM] Avalon used command ::raids | Player rights = DEVELOPER
[4/4/22 09:31AM] Avalon used command ::interface 111700 | Player rights = DEVELOPER
[4/4/22 09:38AM] Avalon used command ::raidparty | Player rights = DEVELOPER
[4/4/22 09:39AM] Avalon used command ::tele 2546 3710 | Player rights = DEVELOPER
[4/4/22 09:39AM] Avalon used command ::noclip | Player rights = DEVELOPER
[4/4/22 09:39AM] Avalon used command ::mypos | Player rights = DEVELOPER
[4/4/22 11:21AM] Avalon used command ::bis | Player rights = DEVELOPER
[4/4/22 11:21AM] Avalon used command ::bis | Player rights = DEVELOPER
[4/4/22 11:21AM] Avalon used command ::itemstats | Player rights = DEVELOPER
[4/4/22 12:09PM] Avalon used command ::seasonpass | Player rights = DEVELOPER
[4/4/22 12:11PM] Avalon used command ::seasonpass | Player rights = DEVELOPER
[4/4/22 12:13PM] Avalon used command ::shops | Player rights = DEVELOPER
