[4/15/22 09:28PM] Avalon used command ::voted | Player rights = PLAYER	
[4/16/22 09:01PM] Avalon used command ::npc 505 | Player rights = DEVELOPER	
[4/16/22 09:04PM] Avalon used command ::zones | Player rights = DEVELOPER	
[4/16/22 09:51PM] Avalon used command ::voted | Player rights = DEVELOPER	
[4/16/22 09:54PM] Avalon used command ::voted | Player rights = DEVELOPER	
[4/17/22 02:05AM] Avalon used command ::1627 | Player rights = DEVELOPER
[4/17/22 02:06AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:12AM] Avalon used command ::clamdonation | Player rights = DEVELOPER	
[4/17/22 02:12AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:16AM] Avalon used command ::bond | Player rights = DEVELOPER	
[4/17/22 02:16AM] Avalon used command ::find bond | Player rights = DEVELOPER	
[4/17/22 02:16AM] Avalon used command ::item 6769 | Player rights = DEVELOPER	
[4/17/22 02:16AM] Avalon used command ::item 10934 | Player rights = DEVELOPER	
[4/17/22 02:16AM] Avalon used command ::item 10935 | Player rights = DEVELOPER	
[4/17/22 02:16AM] Avalon used command ::item 10942 | Player rights = DEVELOPER	
[4/17/22 02:16AM] Avalon used command ::item 10943 | Player rights = DEVELOPER	
[4/17/22 02:17AM] Avalon used command ::find goodiebag | Player rights = DEVELOPER	
[4/17/22 02:18AM] Avalon used command ::find custom set | Player rights = DEVELOPER	
[4/17/22 02:18AM] Avalon used command ::find token | Player rights = DEVELOPER	
[4/17/22 02:18AM] Avalon used command ::item 20435 | Player rights = DEVELOPER	
[4/17/22 02:21AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:21AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:22AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:22AM] Avalon used command ::claidonation | Player rights = DEVELOPER	
[4/17/22 02:22AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:23AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:26AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:29AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:30AM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:27PM] Avalon used command ::claimdonation | Player rights = DEVELOPER	
[4/17/22 02:46PM] Avalon used command ::voted | Player rights = DEVELOPER	
[4/17/22 09:59PM] Avalon used command ::DONATED | Player rights = DEVELOPER	
[4/17/22 09:59PM] Avalon used command ::CLAIM | Player rights = DEVELOPER	
[4/17/22 09:59PM] Avalon used command ::VOTED | Player rights = DEVELOPER	
[4/17/22 10:04PM] Avalon used command ::item 7956 | Player rights = DEVELOPER	
[4/17/22 10:06PM] Avalon used command ::item 6199 | Player rights = DEVELOPER	
[4/17/22 10:07PM] Avalon used command ::find hov | Player rights = DEVELOPER	
[4/17/22 10:07PM] Avalon used command ::find halls | Player rights = DEVELOPER	
[4/17/22 10:07PM] Avalon used command ::find chest | Player rights = DEVELOPER	
[4/17/22 10:07PM] Avalon used command ::item 23002 | Player rights = DEVELOPER	
[4/17/22 10:07PM] Avalon used command ::item 23002 10 | Player rights = DEVELOPER	
[4/17/22 10:09PM] Avalon used command ::item 23002 100k | Player rights = DEVELOPER	
[4/17/22 10:09PM] Avalon used command ::home | Player rights = DEVELOPER	
[4/17/22 10:10PM] Avalon used command ::item 22121 | Player rights = DEVELOPER	
[4/17/22 10:10PM] Avalon used command ::mypos | Player rights = DEVELOPER	
[4/17/22 10:11PM] Avalon used command ::mypos | Player rights = DEVELOPER	
[4/17/22 10:17PM] Avalon used command ::item 6199 10 | Player rights = DEVELOPER	
[4/17/22 10:18PM] Avalon used command ::item 6199 | Player rights = DEVELOPER	
[4/17/22 10:19PM] Avalon used command ::find progressive | Player rights = DEVELOPER	
[4/17/22 10:19PM] Avalon used command ::empty | Player rights = DEVELOPER	
[4/17/22 10:19PM] Avalon used command ::item 10025 | Player rights = DEVELOPER	
[4/17/22 10:19PM] Avalon used command ::item 10026 | Player rights = DEVELOPER	
[4/17/22 10:20PM] Avalon used command ::item 10506 100k | Player rights = DEVELOPER	
[4/17/22 10:20PM] Avalon used command ::empty | Player rights = DEVELOPER	
[4/17/22 10:20PM] Avalon used command ::item 12855 500k | Player rights = DEVELOPER	
[4/17/22 10:21PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/17/22 10:21PM] Avalon used command ::find pvm ticket | Player rights = DEVELOPER	
[4/17/22 10:21PM] Avalon used command ::item 22219 | Player rights = DEVELOPER	
[4/17/22 10:23PM] Avalon used command ::find pvm  | Player rights = DEVELOPER	
[4/17/22 10:23PM] Avalon used command ::item 22214 | Player rights = DEVELOPER	
[4/17/22 10:24PM] Avalon used command ::item 7956 | Player rights = DEVELOPER	
[4/17/22 10:24PM] Avalon used command ::item 7120 | Player rights = DEVELOPER	
[4/17/22 10:24PM] Avalon used command ::item 22123 | Player rights = DEVELOPER	
[4/17/22 10:27PM] Avalon used command ::item 22123 | Player rights = DEVELOPER	
[4/17/22 10:28PM] Avalon used command ::item 22124 | Player rights = DEVELOPER	
[4/17/22 10:30PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/17/22 10:31PM] Avalon used command ::find hov | Player rights = DEVELOPER	
[4/17/22 10:31PM] Avalon used command ::find chest | Player rights = DEVELOPER	
[4/17/22 10:31PM] Avalon used command ::Find chest | Player rights = DEVELOPER	
[4/17/22 10:31PM] Avalon used command ::Find box | Player rights = DEVELOPER	
[4/17/22 10:31PM] Avalon used command ::item 20489 10 | Player rights = DEVELOPER	
[4/17/22 10:31PM] Avalon used command ::item 19114 | Player rights = DEVELOPER	
[4/17/22 10:32PM] Avalon used command ::FIND SILVER E | Player rights = DEVELOPER	
[4/17/22 10:38PM] Avalon used command ::find ocllector | Player rights = DEVELOPER	
[4/17/22 10:38PM] Avalon used command ::find collector | Player rights = DEVELOPER	
[4/17/22 10:38PM] Avalon used command ::find $25 | Player rights = DEVELOPER	
[4/17/22 10:38PM] Avalon used command ::item 23058 | Player rights = DEVELOPER	
[4/17/22 10:39PM] Avalon used command ::find $50 | Player rights = DEVELOPER	
[4/17/22 10:39PM] Avalon used command ::find owner cape | Player rights = DEVELOPER	
[4/17/22 10:39PM] Avalon used command ::find goodiebag | Player rights = DEVELOPER	
[4/17/22 10:40PM] Avalon used command ::item 15288 | Player rights = DEVELOPER	
[4/17/22 10:40PM] Avalon used command ::find collector | Player rights = DEVELOPER	
[4/17/22 10:41PM] Avalon used command ::find supreme | Player rights = DEVELOPER	
[4/17/22 10:48PM] Avalon used command ::item 15003 | Player rights = DEVELOPER	
[4/17/22 10:54PM] Avalon used command ::find dragon | Player rights = DEVELOPER	
[4/17/22 10:54PM] Avalon used command ::item 23078 | Player rights = DEVELOPER	
[4/17/22 10:54PM] Avalon used command ::find purifier | Player rights = DEVELOPER	
[4/17/22 10:55PM] Avalon used command ::find staff | Player rights = DEVELOPER	
[4/17/22 10:55PM] Avalon used command ::item 22087 | Player rights = DEVELOPER	
[4/17/22 10:55PM] Avalon used command ::item 23026 | Player rights = DEVELOPER	
[4/17/22 10:56PM] Avalon used command ::find crossbow | Player rights = DEVELOPER	
[4/17/22 10:56PM] Avalon used command ::item 23066 | Player rights = DEVELOPER	
[4/17/22 10:57PM] Avalon used command ::find t4 | Player rights = DEVELOPER	
[4/17/22 10:58PM] Avalon used command ::item 8326 | Player rights = DEVELOPER	
[4/17/22 10:59PM] Avalon used command ::item 1153 | Player rights = DEVELOPER	
[4/17/22 10:59PM] Avalon used command ::item 1115 | Player rights = DEVELOPER	
[4/17/22 10:59PM] Avalon used command ::item 1067 | Player rights = DEVELOPER	
[4/17/22 11:01PM] Avalon used command ::item 1153 | Player rights = DEVELOPER	
[4/17/22 11:01PM] Avalon used command ::item 1115 | Player rights = DEVELOPER	
[4/17/22 11:01PM] Avalon used command ::item 1067 | Player rights = DEVELOPER	
[4/17/22 11:04PM] Avalon used command ::empty | Player rights = DEVELOPER	
[4/17/22 11:04PM] Avalon used command ::11empty | Player rights = DEVELOPER	
[4/17/22 11:04PM] Avalon used command ::empty | Player rights = DEVELOPER	
[4/17/22 11:04PM] Avalon used command ::emptyu | Player rights = DEVELOPER	
[4/17/22 11:06PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/17/22 11:07PM] Avalon used command ::find launch | Player rights = DEVELOPER	
[4/17/22 11:07PM] Avalon used command ::item 20489 | Player rights = DEVELOPER	
[4/17/22 11:33PM] Avalon used command ::item 8326 | Player rights = DEVELOPER	
[4/17/22 11:33PM] Avalon used command ::item 8327 | Player rights = DEVELOPER	
[4/17/22 11:38PM] Avalon used command ::find t4 | Player rights = DEVELOPER	
[4/17/22 11:38PM] Avalon used command ::item 8327 | Player rights = DEVELOPER	
[4/17/22 11:38PM] Avalon used command ::item 8328 | Player rights = DEVELOPER	
[4/17/22 11:49PM] Avalon used command ::item 19114 10 | Player rights = DEVELOPER	
[4/17/22 11:49PM] Avalon used command ::item 19116 10 | Player rights = DEVELOPER	
[4/17/22 11:49PM] Avalon used command ::item 19115 10 | Player rights = DEVELOPER	
[4/17/22 11:50PM] Avalon used command ::item 19659 | Player rights = DEVELOPER	
[4/17/22 11:52PM] Avalon used command ::item 20488 | Player rights = DEVELOPER	
[4/17/22 11:54PM] Avalon used command ::empty | Player rights = DEVELOPER	
[4/17/22 11:54PM] Avalon used command ::1 | Player rights = DEVELOPER	
[4/17/22 11:54PM] Avalon used command ::1empty | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::empty | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::item 19116 | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::find abyssal whip | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::item 4151 | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::item 13444 | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::item 15441 | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::item 15443 | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::master | Player rights = DEVELOPER	
[4/17/22 11:55PM] Avalon used command ::find chaotic | Player rights = DEVELOPER	
[4/17/22 11:56PM] Avalon used command ::item 18349 | Player rights = DEVELOPER	
[4/17/22 11:56PM] Avalon used command ::item 18351 | Player rights = DEVELOPER	
[4/17/22 11:56PM] Avalon used command ::item 18353 | Player rights = DEVELOPER	
[4/17/22 11:56PM] Avalon used command ::find charming imp | Player rights = DEVELOPER	
[4/17/22 11:56PM] Avalon used command ::find divine spirit | Player rights = DEVELOPER	
[4/17/22 11:56PM] Avalon used command ::item 6500 | Player rights = DEVELOPER	
[4/17/22 11:56PM] Avalon used command ::item 13740 | Player rights = DEVELOPER	
[4/17/22 11:56PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/17/22 11:57PM] Avalon used command ::find abyssal whip | Player rights = DEVELOPER	
[4/17/22 11:57PM] Avalon used command ::item 15444 | Player rights = DEVELOPER	
[4/17/22 11:57PM] Avalon used command ::item 15442 | Player rights = DEVELOPER	
[4/17/22 11:57PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/17/22 11:57PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/17/22 11:57PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/17/22 11:58PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/17/22 11:59PM] Avalon used command ::find brutal | Player rights = DEVELOPER	
[4/18/22 12:00AM] Avalon used command ::find demon+ | Player rights = DEVELOPER	
[4/18/22 12:00AM] Avalon used command ::find grand | Player rights = DEVELOPER	
[4/18/22 12:00AM] Avalon used command ::item 19115 | Player rights = DEVELOPER	
[4/18/22 12:00AM] Avalon used command ::item 19114 | Player rights = DEVELOPER	
[4/18/22 12:00AM] Avalon used command ::item 19116 | Player rights = DEVELOPER	
[4/18/22 12:00AM] Avalon used command ::item 20488 | Player rights = DEVELOPER	
[4/18/22 12:02AM] Avalon used command ::find frost full | Player rights = DEVELOPER	
[4/18/22 12:03AM] Avalon used command ::item 15290 | Player rights = DEVELOPER	
[4/18/22 12:03AM] Avalon used command ::find divine spirit | Player rights = DEVELOPER	
[4/18/22 12:06AM] Avalon used command ::find ruby | Player rights = DEVELOPER	
[4/18/22 12:06AM] Avalon used command ::item 15002 | Player rights = DEVELOPER	
[4/18/22 12:07AM] Avalon used command ::item 15003 | Player rights = DEVELOPER	
[4/18/22 12:10AM] Avalon used command ::find rage | Player rights = DEVELOPER	
[4/18/22 12:10AM] Avalon used command ::item 20400 | Player rights = DEVELOPER	
[4/18/22 12:10AM] Avalon used command ::find madman | Player rights = DEVELOPER	
[4/18/22 12:10AM] Avalon used command ::find rage cape | Player rights = DEVELOPER	
[4/18/22 12:10AM] Avalon used command ::find rage | Player rights = DEVELOPER	
[4/18/22 12:10AM] Avalon used command ::find rage | Player rights = DEVELOPER	
[4/18/22 12:11AM] Avalon used command ::item 15328 | Player rights = DEVELOPER	
[4/18/22 12:11AM] Avalon used command ::find madman cape | Player rights = DEVELOPER	
[4/18/22 12:11AM] Avalon used command ::find cape | Player rights = DEVELOPER	
[4/18/22 12:11AM] Avalon used command ::item 21071 | Player rights = DEVELOPER	
[4/18/22 12:11AM] Avalon used command ::item 21039 | Player rights = DEVELOPER	
[4/18/22 12:12AM] Avalon used command ::item 20591 | Player rights = DEVELOPER	
[4/18/22 12:12AM] Avalon used command ::find crystallized | Player rights = DEVELOPER	
[4/18/22 12:12AM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/18/22 12:12AM] Avalon used command ::find crystal | Player rights = DEVELOPER	
[4/18/22 12:13AM] Avalon used command ::find crystalized | Player rights = DEVELOPER	
[4/18/22 12:13AM] Avalon used command ::find donators | Player rights = DEVELOPER	
[4/18/22 12:13AM] Avalon used command ::find aura | Player rights = DEVELOPER	
[4/18/22 12:13AM] Avalon used command ::item 12630 | Player rights = DEVELOPER	
[4/18/22 12:26AM] Avalon used command ::TEXTURE | Player rights = DEVELOPER	
[4/18/22 12:26AM] Avalon used command ::toggle | Player rights = DEVELOPER	
[4/18/22 12:27AM] Avalon used command ::item 21222 | Player rights = DEVELOPER	
[4/18/22 12:44AM] Avalon used command ::find infinite | Player rights = DEVELOPER	
[4/18/22 12:46AM] Avalon used command ::find ruthless | Player rights = DEVELOPER	
[4/18/22 12:46AM] Avalon used command ::item 23144 | Player rights = DEVELOPER	
[4/18/22 12:46AM] Avalon used command ::item 23145 | Player rights = DEVELOPER	
[4/18/22 12:46AM] Avalon used command ::item 23146 | Player rights = DEVELOPER	
[4/18/22 12:47AM] Avalon used command ::find red party | Player rights = DEVELOPER	
[4/18/22 12:49AM] Avalon used command ::FIND TORMENTED | Player rights = DEVELOPER	
[4/18/22 12:49AM] Avalon used command ::FIND DARK BOW | Player rights = DEVELOPER	
[4/18/22 12:49AM] Avalon used command ::ITEM 11235 | Player rights = DEVELOPER	
[4/18/22 12:50AM] Avalon used command ::FIND KREE'ARRA | Player rights = DEVELOPER	
[4/18/22 12:51AM] Avalon used command ::FIND STAFF OF LIGHT | Player rights = DEVELOPER	
[4/18/22 12:51AM] Avalon used command ::ITEM 14004 | Player rights = DEVELOPER	
[4/18/22 11:27AM] Avalon used command ::find avalon | Player rights = DEVELOPER	
[4/18/22 11:27AM] Avalon used command ::item 8087 | Player rights = DEVELOPER	
[4/18/22 11:27AM] Avalon used command ::item 8088 | Player rights = DEVELOPER	
[4/18/22 11:27AM] Avalon used command ::item 8089 | Player rights = DEVELOPER	
[4/18/22 11:27AM] Avalon used command ::item 8810 | Player rights = DEVELOPER	
[4/18/22 11:27AM] Avalon used command ::item 8811 | Player rights = DEVELOPER	
[4/18/22 11:27AM] Avalon used command ::item 8812 | Player rights = DEVELOPER	
[4/18/22 11:28AM] Avalon used command ::item 14056 | Player rights = DEVELOPER	
[4/18/22 11:28AM] Avalon used command ::item 22040 | Player rights = DEVELOPER	
[4/18/22 12:14PM] Avalon used command ::interface 30330 | Player rights = DEVELOPER	
[4/18/22 12:19PM] Avalon used command ::interface 30330 | Player rights = DEVELOPER	
[4/18/22 12:22PM] Avalon used command ::find valor | Player rights = DEVELOPER	
[4/18/22 12:22PM] Avalon used command ::item 23086 | Player rights = DEVELOPER	
[4/18/22 12:23PM] Avalon used command ::interface 30330 | Player rights = DEVELOPER	
[4/18/22 12:36PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/18/22 12:42PM] Avalon used command ::FIND INVENTION | Player rights = DEVELOPER	
[4/18/22 12:42PM] Avalon used command ::ITEM 21218 | Player rights = DEVELOPER	
[4/18/22 12:57PM] Avalon used command ::ITEM 995 500K | Player rights = DEVELOPER	
[4/18/22 12:58PM] Avalon used command ::EMPTY | Player rights = DEVELOPER	
[4/18/22 12:58PM] Avalon used command ::ITEM 995 500M | Player rights = DEVELOPER	
[4/18/22 12:58PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/18/22 01:28PM] Avalon used command ::find volcanic plateleg | Player rights = DEVELOPER	
[4/18/22 01:28PM] Avalon used command ::item 4894 | Player rights = DEVELOPER	
[4/18/22 01:28PM] Avalon used command ::find volcanic | Player rights = DEVELOPER	
[4/18/22 01:29PM] Avalon used command ::find volcanic | Player rights = DEVELOPER	
[4/18/22 02:40PM] Avalon used command ::item 20456 | Player rights = DEVELOPER	
[4/18/22 02:40PM] Avalon used command ::item 20460 | Player rights = DEVELOPER	
[4/18/22 02:41PM] Avalon used command ::item 4882 | Player rights = DEVELOPER	
[4/18/22 02:41PM] Avalon used command ::item 10865 | Player rights = DEVELOPER	
[4/18/22 02:41PM] Avalon used command ::item 12864 | Player rights = DEVELOPER	
[4/18/22 02:41PM] Avalon used command ::item 14732 | Player rights = DEVELOPER	
[4/18/22 03:13PM] Avalon used command ::find chilling | Player rights = DEVELOPER	
[4/18/22 03:13PM] Avalon used command ::item 13733 | Player rights = DEVELOPER	
[4/18/22 03:13PM] Avalon used command ::item 14734 | Player rights = DEVELOPER	
[4/18/22 03:13PM] Avalon used command ::item 14733 | Player rights = DEVELOPER	
[4/18/22 03:41PM] Avalon used command ::item 11365 | Player rights = DEVELOPER	
[4/18/22 03:41PM] Avalon used command ::find dark bow | Player rights = DEVELOPER	
[4/18/22 09:09PM] Avalon used command ::item 21221 10 | Player rights = DEVELOPER	
[4/18/22 09:09PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/18/22 09:26PM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/18/22 09:26PM] Avalon used command ::item 21221 100k | Player rights = DEVELOPER	
[4/18/22 09:29PM] Avalon used command ::item 21222 10 | Player rights = DEVELOPER	
[4/19/22 12:04AM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/19/22 12:09AM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/19/22 12:09AM] Avalon used command ::FIND COWBOY | Player rights = DEVELOPER	
[4/19/22 12:11AM] Avalon used command ::item 11235 | Player rights = DEVELOPER	
[4/19/22 12:11AM] Avalon used command ::item 19472 | Player rights = DEVELOPER	
[4/19/22 12:11AM] Avalon used command ::item 19473 | Player rights = DEVELOPER	
[4/19/22 12:11AM] Avalon used command ::item 19811 | Player rights = DEVELOPER	
[4/19/22 12:18AM] Avalon used command ::find bond | Player rights = DEVELOPER	
[4/19/22 12:18AM] Avalon used command ::item 6769 100 | Player rights = DEVELOPER	
[4/19/22 12:19AM] Avalon used command ::pos | Player rights = DEVELOPER	
[4/19/22 12:20AM] Avalon used command ::find $5 | Player rights = DEVELOPER	
[4/19/22 12:20AM] Avalon used command ::find bond | Player rights = DEVELOPER	
[4/19/22 12:20AM] Avalon used command ::item 23057 | Player rights = DEVELOPER	
[4/19/22 12:20AM] Avalon used command ::item 23058 | Player rights = DEVELOPER	
[4/19/22 12:20AM] Avalon used command ::item 23059 | Player rights = DEVELOPER	
[4/19/22 12:20AM] Avalon used command ::item 23060 | Player rights = DEVELOPER	
[4/19/22 12:20AM] Avalon used command ::item 23057 500k | Player rights = DEVELOPER	
[4/19/22 12:20AM] Avalon used command ::pos | Player rights = DEVELOPER	
[4/19/22 12:23AM] Avalon used command ::find sapphire | Player rights = DEVELOPER	
[4/19/22 12:23AM] Avalon used command ::item 15586 | Player rights = DEVELOPER	
[4/19/22 12:25AM] Avalon used command ::item 23197 | Player rights = DEVELOPER	
[4/19/22 12:27AM] Avalon used command ::pos | Player rights = DEVELOPER	
[4/19/22 12:27AM] Avalon used command ::find bond | Player rights = DEVELOPER	
[4/19/22 12:27AM] Avalon used command ::item 23058 100 | Player rights = DEVELOPER	
[4/19/22 12:32AM] Avalon used command ::tem 23059 500 | Player rights = DEVELOPER	
[4/19/22 12:32AM] Avalon used command ::positem | Player rights = DEVELOPER	
[4/19/22 12:32AM] Avalon used command ::item 23059 100 | Player rights = DEVELOPER	
[4/19/22 12:32AM] Avalon used command ::pos | Player rights = DEVELOPER	
[4/19/22 12:37AM] Avalon used command ::FIND BLADE | Player rights = DEVELOPER	
[4/19/22 12:38AM] Avalon used command ::item 23198 | Player rights = DEVELOPER	
[4/19/22 12:38AM] Avalon used command ::item 23199 | Player rights = DEVELOPER	
[4/19/22 12:38AM] Avalon used command ::item 23200 | Player rights = DEVELOPER	
[4/19/22 12:38AM] Avalon used command ::item 23201 | Player rights = DEVELOPER	
[4/19/22 12:38AM] Avalon used command ::item 23201 | Player rights = DEVELOPER	
[4/19/22 12:47AM] Avalon used command ::find bond | Player rights = DEVELOPER	
[4/19/22 12:47AM] Avalon used command ::giveitem 23060 10 donator | Player rights = DEVELOPER	
[4/19/22 01:44AM] Avalon used command ::item 23202 | Player rights = DEVELOPER	
[4/19/22 01:46AM] Avalon used command ::find $250 | Player rights = DEVELOPER	
[4/19/22 01:46AM] Avalon used command ::giveitem 23060 100 donator | Player rights = DEVELOPER	
[4/19/22 01:56AM] Avalon used command ::item 23202 | Player rights = DEVELOPER	
[4/19/22 01:56AM] Avalon used command ::item 23203 | Player rights = DEVELOPER	
[4/19/22 01:56AM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/19/22 01:57AM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/19/22 02:02AM] Avalon used command ::bank | Player rights = DEVELOPER	
[4/19/22 02:06AM] Avalon used command ::find $25 | Player rights = DEVELOPER	
[4/19/22 02:06AM] Avalon used command ::find $10 | Player rights = DEVELOPER	
[4/19/22 02:06AM] Avalon used command ::giveitem 10942 3 dono | Player rights = DEVELOPER	
[4/19/22 02:07AM] Avalon used command ::find $1 | Player rights = DEVELOPER	
[4/19/22 02:07AM] Avalon used command ::giveitem 10946 1 dono | Player rights = DEVELOPER	
[4/19/22 02:07AM] Avalon used command ::find $ | Player rights = DEVELOPER	
[4/19/22 02:07AM] Avalon used command ::giveitem 23057 3 dono | Player rights = DEVELOPER	
[4/19/22 08:57AM] Avalon used command ::dzone | Player rights = DEVELOPER	
[4/19/22 09:03AM] Avalon used command ::teke 2751 3348 | Player rights = DEVELOPER	
[4/19/22 09:03AM] Avalon used command ::tele 2851 3348 | Player rights = DEVELOPER	
[4/19/22 10:14AM] Avalon used command ::repackindex4 | Player rights = DEVELOPER	
[4/19/22 10:14AM] Avalon used command ::tele 2176 4224 | Player rights = DEVELOPER	
[4/19/22 10:15AM] Avalon used command ::noclip | Player rights = DEVELOPER	
[4/19/22 10:24AM] Avalon used command ::mypos | Player rights = DEVELOPER	
[4/19/22 10:27AM] Avalon used command ::TELE 2944 3958 | Player rights = DEVELOPER	
[4/19/22 10:27AM] Avalon used command ::TELE 3944 3968 | Player rights = DEVELOPER	
[4/19/22 10:27AM] Avalon used command ::NOCLIP | Player rights = DEVELOPER	
[4/19/22 01:48PM] Avalon used command ::DZONE | Player rights = DEVELOPER	
[4/19/22 01:50PM] Avalon used command ::szone | Player rights = DEVELOPER	
[4/19/22 01:50PM] Avalon used command ::sapphire | Player rights = DEVELOPER	
[4/19/22 01:51PM] Avalon used command ::noclip | Player rights = DEVELOPER	
[4/19/22 01:51PM] Avalon used command ::szone | Player rights = DEVELOPER	
[4/19/22 01:52PM] Avalon used command ::mypos | Player rights = DEVELOPER	
[4/19/22 01:52PM] Avalon used command ::onyx | Player rights = DEVELOPER	
[4/19/22 02:08PM] Avalon used command ::repackindex4 | Player rights = DEVELOPER	
[4/19/22 02:10PM] Avalon used command ::tele 2880 5312 | Player rights = DEVELOPER	
[4/19/22 02:10PM] Avalon used command ::noclip | Player rights = DEVELOPER	
[4/19/22 02:10PM] Avalon used command ::mypos | Player rights = DEVELOPER	
